17:02:49.813 [main]  INFO testCases.TC002_AccountRegistration - Clicking on registration link to create new account
17:02:58.872 [main]  INFO testCases.TC002_AccountRegistration - registration with empty name fields-- test passed with error message
17:04:10.862 [main]  INFO testCases.TC002_AccountRegistration - Clicking on registration link to create new account
17:05:05.042 [main]  INFO testCases.TC002_AccountRegistration - Clicking on registration link to create new account
17:44:22.713 [main]  INFO testCases.TC002_AccountRegistration - Clicking on registration link to create new account
17:44:25.993 [main]  INFO testCases.TC002_AccountRegistration - registration with less than 10 digits phn number field -- test passed with error message
17:51:31.279 [main]  INFO testCases.TC002_AccountRegistration - Clicking on registration link to create new account
17:52:36.661 [main]  INFO testCases.TC002_AccountRegistration - Clicking on registration link to create new account
17:56:46.665 [main]  INFO testCases.TC002_AccountRegistration - Clicking on registration link to create new account
17:56:51.250 [main]  INFO testCases.TC002_AccountRegistration - registration with spl characters in phn number field -- not accepting --test passed with error message
17:59:08.475 [main]  INFO testCases.TC002_AccountRegistration - Clicking on registration link to create new account
17:59:13.664 [main]  INFO testCases.TC002_AccountRegistration - registration with spl characters in phn number field -- not accepting --test passed with error message
18:00:10.309 [main]  INFO testCases.TC002_AccountRegistration - Clicking on registration link to create new account
18:00:13.590 [main]  INFO testCases.TC002_AccountRegistration - registration with spl characters in phn number field -- not accepting --test passed with error message
18:00:24.773 [main]  INFO testCases.TC002_AccountRegistration - Clicking on registration link to create new account
18:01:26.719 [main]  INFO testCases.TC002_AccountRegistration - Clicking on registration link to create new account
10:43:03.471 [main]  INFO testCases.TC002_AccountRegistration - Clicking on registration link to create new account
10:46:27.667 [main]  INFO testCases.TC002_AccountRegistration - Clicking on registration link to create new account
10:48:26.117 [main]  INFO testCases.TC002_AccountRegistration - Clicking on registration link to create new account
14:42:44.616 [main]  INFO testCases.TC003_LoginTest - only 1 product is wishlisted as 2nd product is clicked 2 times which deselected the item from wishlist.
16:37:41.427 [main]  INFO testCases.TC003_LoginTest - minimum quantity-strictly 1 count is displayed
